nama_cafe,rating_cafe,harga,latitude,longitude,normalisasi_ulasan
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,datang kira sebelum magrib pelayanan kasirnya menurut saya kurang ramah mbaknya pelayan yang lain ramah harga lumayan terjangkau tapi porsi kurang banyak kopinya kemanisan ngebeli view ini lihat citylight bandung tarif parkir motor ada foto box juga
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,tempat ini padahal dekat banget dari rumah depan komplek untuk minuman lumayan makanan b saja ya lumayan untuk teman nongkrong pelayanan bagus gercep mbak saat meminta take away juga yang di tempat kasir mbak baik banget selalu menyapa ramah
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,tempat yang cocok untuk menikmati citylight bandung suasananya nyaman dan cukup ramai mungkin kurang cocok untuk tempat work from home cocok dikunjungi di sore menuju malam untuk sekedar ngipi dan bersantai
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,tempat yang letaknya strategis di jatihandap tempatnya mantap ada live music atau menonton persib bola bareng lantai lumayan luas dan lantai paling atasnya yang mantap view jangan ditanya tapi jangan mengharap kopi dan makanannya ya harga terjangkau no worry tapi rasa sayangnya banyak yang missing porsi juga kecil jadi jangan bgarep kenyanglah enjoy tempatnya saja rekomendasi nongkrong bareng teman ngadem jauh dari kota yes buat makan minum kopi no
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,seating lantai dua nyaman lega dan tidak pengap rasa f b masih worth it sesuai harganya tapi serasa tidak ada yang spesial berhubung tidak jauh dari situ ada cafe yang f b jauh lebih enak dengan harga serupa jadi menurutku yang spesial dari tempat ini hanya bila berkunjung malam hari untuk lihat view wifi seperti siput ada menu kosong dan banyak meong tapi jukirnya keren bantuin parkir tanpa diminta
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,aksesnya lumayan cukup untuk mobil tarif parkir motor ada lantai yang paling enak di lantai paling atas dan menghadap ke citylight saya pesan beberapa menu mereka rasanya lumayan enak enak cocok buat kongkow sambil mengerjakan tugas juga free wifi tersedia juga toilet cewek cowok disatuin
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,tempat nyaman view buat nyore enak
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,saya datang kesini untuk merayakan pergantian tahun tapi saya kecewa karena terjadi mis communication tentang harga untuk reservasi tempat yang saya lihat di instagram itu harganya per pax tetapi saat saya membayarkan pelunasan jadi dikenakan harga per meja untuk orang belum termasuk tax n service pada guide meja pun tidak ada keterangan harga per meja di setiap lantai tuh berbeda lalu admin whatsapp pun tidak memberi tahu saya perihal harga itu ketika saya tanyakan kepada pihak coffeeshop kenapa terjadi selisih harga yang lumayan jauh lalu dijelaskan bahwa harga untuk itu untuk dilantai bila dilantai harganya an per meja dan dilantai itu per meja setelah saya melakukan payment saya hanya diberi bill dari mesin edc saja tanpa ada bill tambahan tentang menu apa saja yang saya beli ketika saya tanya mengapa tidak dapat bill dari pihak coffeeshop kasirnya menjawab bahwa mereka tidak menyediakan bill untuk reservasi lalu tidak ada yang special dari lantai karena orang yang dilantai dan bisa menikmati pergantian tahun dilantai sambil berdiri yang menyebabkan saya tidak nyaman karena terlalu banyak orang berkerumun dari segi makanan dan minuman juga rasanya biasa saja baso gorengnya asin dinsum dingin dan tidak ada rasanya cireng alot banana roll tidak manis dan pisangnya keras makanan dan minuman langsung dikeluarkan saat datang dan makanan yang datang sudah dalam keadaan dingin jadi rasanya mungkin berubah
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,gila kesini pas banget lagi senja cantik banget makanan minumannya juga murce berdua ganyampe dah dapat cemilan sama minum enak buat work from cafe kemarin smbl laptopan banyak colokan ada fotobox sama board game buat babychair ada juga selengkap itu buat minumannya sistem selfpick up cepat langsung dibuatin enak juga cookies and cream bakalan jadi langganan buat nongs sama work from cafe
Beda Cerita Coffee,4.7,Rp 25–50 rb,-6.8883626,107.6299996,cafe ini terletak di daerah cimenyan bandung untuk menuju lokasi jalan ramai dan tidak begitu lebar pengguna mobil harap extra hati hati parkir mobil hanya bisa unit untuk motor harga standart cafe dan cafe ini memberikan pemandangan kota bandung sunset dan citylight untuk duduk di rooftop silakan bersabar karena tempat tersebut merupakan hotspot dari cafe ini tapi untuk mengambil gambar tidak perlu antri karena sudah ada spot foto
