nama_cafe,jumlah_ulasan,n_positif,n_netral,n_negatif,avg_conf,pct_positif,pct_netral,pct_negatif,sentimen_score,rank_sentimen,kategori
Kisah Manis Dago,100,98,1,1,0.994773,98.0,1.0,1.0,9.7,1,Positif
Janji Jiwa Culture Buah Batu Bandung,85,83,1,1,0.997999,97.647059,11.764706,11.764706,9.647059,2,Positif
Sukaluyu Coffee,100,98,0,2,0.994243,98.0,0.0,2.0,9.6,3,Positif
Oseebo Coffee Gempol,100,95,4,1,0.985464,95.0,4.0,1.0,9.4,4,Positif
WŌRK-UNUSUAL,30,28,2,0,0.975263,93.333333,66.666667,0.0,9.333333,5,Positif
hi brew,100,94,5,1,0.97258,94.0,5.0,1.0,9.3,6,Positif
Delapan Padi,100,92,8,0,0.996176,92.0,8.0,0.0,9.2,7,Positif
Sparkle Coffee,100,94,3,3,0.996223,94.0,3.0,3.0,9.1,8,Positif
Accio Caffe,46,42,3,1,0.97525,91.304348,65.217391,21.73913,8.913043,9,Positif
Hanami Cafe & Sky Lounge,100,92,5,3,0.983219,92.0,5.0,3.0,8.9,10,Positif
de.u Coffee,100,92,4,4,0.982817,92.0,4.0,4.0,8.8,11,Positif
Caffe Bene Dago,100,90,6,4,0.966252,90.0,6.0,4.0,8.6,12,Positif
Invalogi Coffee Kiara,100,92,2,6,0.993575,92.0,2.0,6.0,8.6,13,Positif
Memorial Coffee Cikutra,85,77,4,4,0.975776,90.588235,47.058824,47.058824,8.588235,14,Positif
Arturo Cafe,100,90,5,5,0.981857,90.0,5.0,5.0,8.5,15,Positif
Layung Coffee Roastery,120,107,7,6,0.980608,89.166667,58.333333,5.0,8.416667,16,Positif
Jabarano Coffee - Angklung 4.0 Dago,100,88,8,4,0.962163,88.0,8.0,4.0,8.4,17,Positif
911 Coffee Buah Batu,30,27,1,2,0.9954,90.0,33.333333,66.666667,8.333333,18,Positif
Kata Anja Coffee,60,53,4,3,0.970915,88.333333,66.666667,5.0,8.333333,19,Positif
Adieu Café,77,69,3,5,0.980926,89.61039,38.961039,64.935065,8.311688,20,Positif
GOFFEÉ Doughnuts & Coffee Dipatiukur,100,88,7,5,0.989955,88.0,70.0,5.0,8.3,21,Positif
Pivot Coffee,85,75,5,5,0.978496,88.235294,58.823529,58.823529,8.235294,22,Positif
Merawat Coffee & Eatery,82,72,5,5,0.973189,87.804878,60.97561,60.97561,8.170732,23,Positif
Betah Space,32,26,6,0,0.965259,81.25,18.75,0.0,8.125,24,Positif
Sans Co.,100,87,7,6,0.972712,87.0,70.0,6.0,8.1,25,Positif
Rooftop Coffee Uber,90,79,4,7,0.979342,87.777778,44.444444,77.777778,8.0,26,Positif
TOMORO COFFEE - Dipati Ukur,100,87,6,7,0.984711,87.0,6.0,70.0,8.0,27,Positif
KILOGRAM SPACE,100,86,8,6,0.96598,86.0,8.0,6.0,8.0,28,Positif
Nurona Space,99,83,12,4,0.962317,83.838384,12.121212,40.40404,7.979798,29,Netral
Kawan Kopi Cimandiri,100,86,7,7,0.979117,86.0,70.0,70.0,7.9,30,Netral
Mari Ngopi Bandung,100,85,9,6,0.961148,85.0,9.0,6.0,7.9,31,Netral
Sankyōdai Coffee,36,31,2,3,0.954119,86.111111,55.555556,83.333333,7.777778,32,Netral
Kanoko Coffee Dago,99,81,14,4,0.961407,81.818182,14.141414,40.40404,7.777778,33,Netral
Temu Kamu Coffee & Eatery Bandung,100,86,5,9,0.966551,86.0,5.0,9.0,7.7,34,Netral
Rooftop Coffee BTM,100,84,9,7,0.971093,84.0,9.0,70.0,7.7,35,Netral
Kopi Nako Bandung,100,81,14,5,0.959582,81.0,14.0,5.0,7.6,36,Netral
Garden Coffee Bandung,100,82,12,6,0.953437,82.0,12.0,6.0,7.6,37,Netral
Dewaji Coffee Lab,99,83,8,8,0.962017,83.838384,80.808081,80.808081,7.575758,38,Netral
Four C'S Cafe Eatery,100,83,9,8,0.982919,83.0,9.0,8.0,7.5,39,Netral
R2O Koffie & Space,40,34,2,4,0.980888,85.0,5.0,10.0,7.5,40,Netral
ManA Social Cafe,70,56,10,4,0.963386,80.0,14.285714,57.142857,7.428571,41,Netral
KopiKitaku,100,83,8,9,0.956905,83.0,8.0,9.0,7.4,42,Netral
